Dataset,Latitude,Longitude,OriginalDetailedLocation,OriginalAddressText,MappingCountForCoordinate,FullAddress,CoordinateToTextSeconds
CA,32.5426143408,-117.0294034481,San Ysidro All Travelers Lane(nan),San Ysidro All Travelers Lane,1,"All Travelers Lane, San Ysidro, San Diego, San Diego County, California, 92173, United States",0.4226048000018636
CA,32.5427394167,-117.0289697833,San Ysidro Ready Lane(Historic Landmark),San Ysidro Ready Lane,1,"Ready Lane, San Ysidro, San Diego, San Diego County, California, 92173, United States",0.681490599999961
CA,32.5445973167,-117.0386122167,San Ysidro Camino de la Plaza(Nike),San Ysidro Camino de la Plaza,1,"U.S. Bank, Louisiana Avenue, Park Haven, San Ysidro, San Diego, San Diego County, California, 92173, United States",1.0004146999999648
CA,32.5451527,-117.0438479,San Ysidro Camino de la Plaza(Mall),San Ysidro Camino de la Plaza,1,"Camino de la Plaza, Park Haven, San Ysidro, San Diego, San Diego County, California, 92173, United States",0.9996629000015672
CA,32.5888289,-117.0073596,San Diego County Entertainment Circle(Live Music),San Diego County Entertainment Circle,1,"Lot B, Entertainment Circle, Chula Vista, San Diego County, California, 91913, United States",1.000676300001942
CA,32.6204545167,-116.9617773833,San Diego County Eastlake Parkway No.1725(In-N-Out Burger),San Diego County Eastlake Parkway No.1725,1,"In-N-Out Burger, 1725, Eastlake Parkway, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",0.9999583000026178
CA,32.62157495,-116.9643277167,San Diego County Birch Road(Best Buy),San Diego County Birch Road,1,"Birch Road, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",1.0001847999992606
CA,32.6227648,-116.96627735,San Diego County Eastlake Parkway(American),San Diego County Eastlake Parkway,1,"Calle Corona, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",1.0065580000009504
CA,32.623871022,-116.966004659,San Diego County Kestrel Falls Road(Barnes & Noble),San Diego County Kestrel Falls Road,1,"Kestrel Falls Road, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",0.9939044000020658
CA,32.6244642833,-116.9661594833,San Diego County Eastlake Parkway(Apple Store),San Diego County Eastlake Parkway,1,"BNCafe, Kestrel Falls Road, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",1.0008353999983228
CA,32.6269679993,-116.9642633831,San Diego County Eastlake Parkway(Mall),San Diego County Eastlake Parkway,1,"Eastlake Parkway, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",1.0014953999998395
CA,32.6288361333,-116.9667766333,San Diego County Town Center Drive(Gas & Automotive),San Diego County Town Center Drive,1,"Town Center Drive, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",0.9989198000002943
CA,32.6290826833,-117.0460556833,San Diego County Telegraph Canyon Road No.413(Mexican),San Diego County Telegraph Canyon Road No.413,1,"Lolita's Taco Shop, 413, Telegraph Canyon Road, Chula Vista, San Diego County, California, 91910, United States",1.00069899999653
CA,32.63043675,-116.9669680167,San Diego County Eastlake Parkway(Walmart),San Diego County Eastlake Parkway,1,"1410, Eastlake Parkway, Otay Ranch, Chula Vista, San Diego County, California, 91915, United States",1.001042599997163
CA,32.6309163833,-117.0871888833,San Diego County H Street(Brewery / Microbrewery),San Diego County H Street,1,"561, Broadway, Chula Vista, San Diego County, California, 91910, United States",1.0004665000014938
CA,32.63122045,-117.1402013167,San Diego County Silver Strand Boulevard(Beach),San Diego County Silver Strand Boulevard,1,"Silver Strand Boulevard, Coronado, San Diego County, California, 92155, United States",1.0024423000031677
CA,32.631622886,-117.1341919899,San Diego County Coronado Bay Road(Luxury Hotel),San Diego County Coronado Bay Road,1,"The Point, Crown Island, Coronado, San Diego County, California, 92155, United States",0.9987320999971416
CA,32.6319697167,-117.1342949667,San Diego County Coronado Bay Road(nan),San Diego County Coronado Bay Road,1,"The Point, Crown Island, Coronado, San Diego County, California, 92155, United States",1.3985453000022972
CA,32.6365387,-117.0288841667,San Diego County Paseo del Rey No.800(American),San Diego County Paseo del Rey No.800,1,"Chili's, 800, Paseo del Rey, Chula Vista, San Diego County, California, 91910, United States",0.6027422000006482
CA,32.65223723,-116.95302575,San Diego County Table Rock Avenue(Bowling),San Diego County Table Rock Avenue,1,"Yosemite Way, Chula Vista, San Diego County, California, 91914, United States",0.9998654999981228
CA,32.6549158,-117.0649083333,San Diego County Plaza Bonita Road No.3030(Mall),San Diego County Plaza Bonita Road No.3030,1,"Hooters, 3030, Plaza Bonita Road, National City, San Diego County, California, 91950, United States",1.0002010999996855
CA,32.6555128084,-117.0644676446,San Diego County Ring Road(Target),San Diego County Ring Road,1,"Ring Road, Plaza Bonita, National City, San Diego County, California, 91910, United States",1.8209013999985475
