Dataset,Latitude,Longitude,OriginalDetailedLocation,OriginalAddressText,MappingCountForCoordinate,FullAddress,CoordinateToTextSeconds
NYC,40.55085246740427,-73.93129348754883,Queens County Fishermen's Way(Beach),Queens County Fishermen's Way,1,"Breezy Point Surf Club, Beach 222nd Street, Breezy Point, Queens, Queens County, New York, 11697, United States",1.0767026000030455
NYC,40.557295,-73.911548,Queens County Graham Place No.12(Beach),Queens County Graham Place No.12,1,"12, Graham Place, Rockaway Point, Queens, Queens County, New York, 11697, United States",0.8636983000033069
NYC,40.56284271485547,-73.91834636014222,Queens County Bayside Avenue No.911(Home (private)),Queens County Bayside Avenue No.911(Home (private)),1,"972, Bayside Avenue, Queens, Queens County, New York, 11697, United States",0.8743985000037355
NYC,40.56488917595226,-73.91176411662703,Queens County Ocean Avenue No.1(American Restaurant),Queens County Ocean Avenue No.1,1,"536, Beach 201st Street, Rockaway Point, Queens, Queens County, New York, 11697, United States",1.025428600005398
NYC,40.56708944867224,-73.8654613494873,Queens County Jacob Riis Boardwalk(Beach),Queens County Jacob Riis Boardwalk,1,"Jacob Riis Boardwalk, Queens, Queens County, New York, 11694, United States",0.996858999998949
NYC,40.56930720806122,-74.11029056666666,Hylan Boulevard(Bank),Hylan Boulevard,1,"New Dorp Lane, Staten Island, Richmond County, New York, 10306, United States",0.6734916999994311
NYC,40.57128331513807,-74.11812337576457,8th Street No.109(Home (private)),8th Street No.109(Home (private)),1,"109, 8th Street, New Dorp, Staten Island, Richmond County, New York, 10306, United States",1.4287373999977715
NYC,40.57158770699204,-73.85400424534569,Queens County Beach 138th Street No.152(Housing Development),Queens County Beach 138th Street No.152,1,"144, Beach 138th Street, Neponsit, Queens, Queens County, New York, 11694, United States",0.4931683999966481
NYC,40.57162075448053,-73.98253440856934,Coney Island Riegelmann Boardwalk(Beach),Coney Island Riegelmann Boardwalk,1,"Coney Island Beach, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.0187112999992678
NYC,40.57165168712304,-73.85411336144618,Queens County Beach 138th Street No.152(Housing Development),Queens County Beach 138th Street No.152,1,"152, Beach 138th Street, Neponsit, Queens, Queens County, New York, 11694, United States",1.1071158999984618
NYC,40.57168595088612,-74.10836219787598,Hylan Boulevard(Food & Drink Shop),Hylan Boulevard,1,"Jacques Avenue, Staten Island, Richmond County, New York, 10306, United States",0.9126695999948424
NYC,40.57263129162902,-74.08819198608397,Father Capodanno Boulevard(Beach),Father Capodanno Boulevard,1,"Father Capodanno Boulevard, Midland Beach, Staten Island, Richmond County, New York, 10306, United States",1.4712962999983574
NYC,40.57287008538299,-74.10759064170995,Hylan Boulevard No.2391(Tanning Salon),Hylan Boulevard No.2391,1,"Hylan Boulevard, Staten Island, Richmond County, New York, 10306, United States",1.0978875000000698
NYC,40.57334843776636,-73.98037791252136,Kings County Surf Avenue No.1000(Park),Kings County Surf Avenue No.1000,1,"Luna Park, 1000, Surf Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",0.4965731000047526
NYC,40.57334843776636,-73.98030281066895,Kings County Surf Avenue No.1000(Beach),Kings County Surf Avenue No.1000,1,"Luna Park, 1000, Surf Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.2549905000050785
NYC,40.57385221395047,-73.9903517702653,Coney Island Surf Avenue No.2315(Event Space),Coney Island Surf Avenue No.2315,1,"2315, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.6261531999989529
NYC,40.57393518797987,-74.0842866897583,Father Capodanno Boulevard(Beach),Father Capodanno Boulevard,1,"Father Capodanno Boulevard, Staten Island, Richmond County, New York, 10305, United States",1.0396515999964322
NYC,40.574130770241,-73.97511005401611,Kings County Surf Avenue(Aquarium),Kings County Surf Avenue,1,"Sea Cliffs, Surf Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.334541500000341
NYC,40.57417417158632,-74.11692187677832,New Dorp Plaza No.31(Italian Restaurant),New Dorp Plaza No.31,1,"Ho' Brah, 31, New Dorp Plaza, New Dorp, Staten Island, Richmond County, New York, 10306, United States",1.1488728000040282
NYC,40.57453059799639,-74.00063278107605,Coney Island West 35th Street No.2881(Home (private)),Coney Island West 35th Street No.2881(Home (private)),1,"2881, West 35th Street, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.4979285000008531
NYC,40.57454938506,-74.1164688035618,New Dorp Plaza No.5(Performing Arts Venue),New Dorp Plaza No.5,1,"Mrs. Rosemary's Dance Studio, 5, New Dorp Plaza, New Dorp, Staten Island, Richmond County, New York, 10306, United States",1.3834987999944133
NYC,40.57457200423932,-73.98550805535909,Coney Island Kensington Walk(Stadium),Coney Island Kensington Walk,1,"Ocean Way, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.6216573000056087
NYC,40.5745903155758,-73.98535310037681,Coney Island Kensington Walk(Stadium),Coney Island Kensington Walk,1,"Ocean Way, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.3736441000000923
NYC,40.5746454184912,-73.98450371529013,Coney Island Kensington Walk(Stadium),Coney Island Kensington Walk,1,"9/11 Memorial, 19-04, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.0066871000017272
NYC,40.57475276899756,-74.11639998221793,New Dorp Plaza No.5(Performing Arts Venue),New Dorp Plaza No.5,1,"87, Cloister Place, New Dorp, Staten Island, Richmond County, New York, 10306, United States",0.6367279999976745
NYC,40.57483891454035,-73.98503171186687,Coney Island Kensington Walk(Stadium),Coney Island Kensington Walk,1,"19-04, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.3625814999977592
NYC,40.57484790030712,-73.97756695747375,Kings County West 10th Street(Park),Kings County West 10th Street,1,"Coney Island Cyclone, West 10th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.1225593999988632
NYC,40.57484790030712,-73.9616346359253,Kings County Riegelmann Boardwalk(Beach),Kings County Riegelmann Boardwalk,1,"Riegelmann Boardwalk, Brighton Beach, Brooklyn, Kings County, New York, 11235, United States",0.5331377000038628
NYC,40.57485998907254,-73.978434,Kings County Surf Avenue No.1000(Park),Kings County Surf Avenue No.1000,1,"Coney Island Hang Glider, 1000, Surf Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.3714009999966947
NYC,40.57514126948244,-73.98150444030762,Coney Island Surf Avenue No.1310(Hot Dog Joint),Coney Island Surf Avenue No.1310,1,"Nathan's, 1310, Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.9755831000002216
NYC,40.57520598119939,-73.98374615244924,Coney Island Surf Avenue(American Restaurant),Coney Island Surf Avenue,1,"Surf Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.012037300002703
NYC,40.57546852710123,-73.99696863812723,Coney Island Mermaid Avenue(Drugstore / Pharmacy),Coney Island Mermaid Avenue,1,"Mermaid Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.1042912999982946
NYC,40.57559824072332,-73.98125535659763,Kings County Stillwell Avenue No.2932(Donut Shop),Kings County Stillwell Avenue No.2932,1,"2932, Stillwell Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.6487818999958108
NYC,40.57611915744327,-73.97605419158936,Kings County West 8th Street(Subway),Kings County West 8th Street,1,"West 8th Street-NY Aquarium, West 8th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.2234651000035228
NYC,40.57618702737008,-73.83918686627649,Queens County Ocean Promenade No.119-02(Beach),Queens County Ocean Promenade No.119-02,1,"120-02, Ocean Promenade, Rockaway Park, Queens, Queens County, New York, 11694, United States",0.6492816999962088
NYC,40.57623201118281,-73.83881354583862,Queens County Ocean Promenade No.119-02(Beach),Queens County Ocean Promenade No.119-02,1,"Ocean Promenade, Rockaway Park, Queens, Queens County, New York, 11694, United States",0.9757982999944944
NYC,40.57630252051592,-73.83887097979809,Queens County Ocean Promenade No.119-02(Beach),Queens County Ocean Promenade No.119-02,1,"Ocean Promenade, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.363394699998025
NYC,40.57630751305755,-73.83918686627649,Queens County Ocean Promenade No.119-02(Beach),Queens County Ocean Promenade No.119-02,1,"Ocean Promenade, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.01915249999729
NYC,40.576374879551175,-74.10256064404238,Lincoln Avenue No.333(Cosmetics Shop),Lincoln Avenue No.333,1,"333, Lincoln Avenue, Staten Island, Richmond County, New York, 10306, United States",1.0316216999999597
NYC,40.57646845827243,-73.9680030915786,Kings County Brighton Beach Avenue No.105(Subway),Kings County Brighton Beach Avenue No.105,1,"Telco, 105, Brighton Beach Avenue, Brighton Beach, Brooklyn, Kings County, New York, 11235, United States",1.099760299999616
NYC,40.57683701805455,-73.98165136086156,Kings County Mermaid Avenue Bus Loop(Neighborhood),Kings County Mermaid Avenue Bus Loop,1,"2904, Stillwell Avenue, Brooklyn, Kings County, New York, 11224, United States",0.8723842999970657
NYC,40.57684370773071,-73.98132996615902,Kings County Mermaid Avenue Bus Loop(Bank),Kings County Mermaid Avenue Bus Loop,1,"Coney Island–Stillwell Avenue, Mermaid Avenue Bus Loop, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.9765377000003356
NYC,40.57689110532319,-73.98192110242921,Coney Island Mermaid Avenue No.1412(American Restaurant),Coney Island Mermaid Avenue No.1412,1,"1412, Mermaid Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.7716530999969109
NYC,40.57693405315921,-73.9813756942749,Kings County Mermaid Avenue Bus Loop(Train Station),Kings County Mermaid Avenue Bus Loop,1,"Coney Island–Stillwell Avenue, Mermaid Avenue Bus Loop, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.2533719999992172
NYC,40.57696138238364,-73.98161692574057,Coney Island Mermaid Avenue No.1401(Fast Food Restaurant),Coney Island Mermaid Avenue No.1401,1,"McDonald's, 1401, Mermaid Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.6355207999949926
NYC,40.57701470096104,-73.9814791851949,Kings County Mermaid Avenue Bus Loop(Neighborhood),Kings County Mermaid Avenue Bus Loop,1,"Mermaid Avenue Bus Loop, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.9636676000009174
NYC,40.5770155421849,-73.98116111755371,Kings County Mermaid Avenue Bus Loop(Bus Station),Kings County Mermaid Avenue Bus Loop,1,"Mermaid Avenue Bus Loop, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.0185487999988254
NYC,40.57713355767677,-73.9998265034817,Coney Island Neptune Avenue No.3225(Bus Station),Coney Island Neptune Avenue No.3225,1,"3225, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.5045166999989306
NYC,40.5771789658253,-73.9998265034817,Coney Island Neptune Avenue No.3225(Bus Station),Coney Island Neptune Avenue No.3225,1,"3225, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.4853077000007033
NYC,40.57720525766707,-74.00138740791985,Coney Island Neptune Avenue No.3225(Bus Station),Coney Island Neptune Avenue No.3225,1,"3508, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.0943333000031998
NYC,40.57720525766707,-74.00080780885983,Coney Island Neptune Avenue No.3225(Bus Station),Coney Island Neptune Avenue No.3225,1,"3345, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.3058887000006507
NYC,40.57728499874663,-74.00001013995829,Coney Island Neptune Avenue No.3225(Bus Station),Coney Island Neptune Avenue No.3225,1,"3225, Neptune Avenue, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.9918372000029194
NYC,40.57745558120849,-73.98124694824219,Kings County Mermaid Avenue Bus Loop(Subway),Kings County Mermaid Avenue Bus Loop,1,"Coney Island–Stillwell Avenue, Stillwell Avenue, Brooklyn, Kings County, New York, 11224, United States",0.9988976000022376
NYC,40.57748817657657,-73.97985219955444,Kings County West 12th Street No.2880(Gym / Fitness Center),Kings County West 12th Street No.2880,1,"2880, West 12th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.0002946000022348
NYC,40.57777325487135,-73.8467450173948,Queens County Beach 127th Street No.238(Beach),Queens County Beach 127th Street No.238,1,"238, Beach 127th Street, Belle Harbor, Rockaway Park, Queens, Queens County, New York, 11694, United States",0.6229629999943427
NYC,40.5777833724339,-73.84638319761233,Queens County Beach 127th Street No.238(Beach),Queens County Beach 127th Street No.238,1,"231, Beach 126th Street, Belle Harbor, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.393307199999981
NYC,40.57782667559751,-73.9607481089862,Kings County Brighton Beach Avenue(Subway),Kings County Brighton Beach Avenue,1,"Brighton Beach Avenue, Brighton Beach, Brooklyn, Kings County, New York, 11235, United States",0.6058659000045736
NYC,40.577826761304806,-73.84724467219309,Queens County Beach 127th Street No.238(Beach),Queens County Beach 127th Street No.238,1,"245, Beach 127th Street, Belle Harbor, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.377264999995532
NYC,40.57785000012939,-73.96120729319065,Kings County Brighton Beach Avenue No.607(Coffee Shop),Kings County Brighton Beach Avenue No.607,1,"Starbucks, 607, Brighton Beach Avenue, Brighton Beach, Brooklyn, Kings County, New York, 11235, United States",0.8806999000007636
NYC,40.5781867726997,-73.84745716867748,Queens County Beach 127th Street No.238(Beach),Queens County Beach 127th Street No.238,1,"261, Beach 127th Street, Belle Harbor, Rockaway Park, Queens, Queens County, New York, 11694, United States",0.7658420000007027
NYC,40.57840084043545,-73.93618583679199,Manhattan Beach Oriental Boulevard No.1915(Community College),Manhattan Beach Oriental Boulevard No.1915,1,"Oriental Boulevard, Brooklyn, Kings County, New York, 11235, United States",1.3457956999991438
NYC,40.57882457299476,-74.07686233520508,Father Capodanno Boulevard(Beach),Father Capodanno Boulevard,1,"Lot 6, Father Capodanno Boulevard, Staten Island, Richmond County, New York, 10305, United States",0.6394034999975702
NYC,40.57899856567383,-73.97844696044922,Kings County Neptune Avenue No.2817(Residential Building (Apartment / Condo)),Kings County Neptune Avenue No.2817(Residential Building (Apartment / Condo)),1,"Luna Park Houses 2, 2817, Neptune Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.1038159000017913
NYC,40.57912417974672,-73.82426211435131,Rockaway Beach Boardwalk(Home (private)),Rockaway Beach Boardwalk(Home (private)),1,"Boardwalk, Rockaway Park, Queens, Queens County, New York, 11693, United States",0.9019999000011012
NYC,40.57973884745985,-73.9814964027685,Kings County Stillwell Avenue No.2779B(Rest Area),Kings County Stillwell Avenue No.2779B,1,"2779, Stillwell Avenue, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",1.3581349000014598
NYC,40.579753030807424,-73.97029891525956,Kings County Neptune Avenue No.440;444;446;448(Other Great Outdoors),Kings County Neptune Avenue No.440;444;446;448,1,"444, Neptune Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.0137500999990152
NYC,40.57994619525604,-73.83733748734836,Queens County Beach 116th Street No.203(Deli / Bodega),Queens County Beach 116th Street No.203,1,"Roger's, 203, Beach 116th Street, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.1183223999978509
NYC,40.5799781100278,-73.9814964027685,Kings County Stillwell Avenue No.2779B(Rest Area),Kings County Stillwell Avenue No.2779B,1,"2771R, Stillwell Avenue, West Brighton, Coney Island, Brooklyn, Kings County, New York, 11224, United States",0.5022853999980725
NYC,40.57999989471234,-73.9709360014804,Kings County West 5th Street No.2765;2775;2785(Coffee Shop),Kings County West 5th Street No.2765;2775;2785,1,"499, Neptune Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",0.9791647999954876
NYC,40.58000477763995,-73.97365076868284,Kings County Neptune Avenue No.539(Miscellaneous Shop),Kings County Neptune Avenue No.539,1,"543, Neptune Avenue, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.0261379000003217
NYC,40.58047058555029,-73.83696556091309,Queens County Beach 116th Street No.238(Subway),Queens County Beach 116th Street No.238,1,"238, Beach 116th Street, Rockaway Park, Queens, Queens County, New York, 11694, United States",1.119694699998945
NYC,40.58058466412761,-73.82949829101562,Queens County Rockaway Freeway(Beach),Queens County Rockaway Freeway,1,"173A, Beach 108th Street, Rockaway Park, Queens, Queens County, New York, 11694, United States",0.874650699995982
NYC,40.5808535628616,-73.97476136684418,Kings County West 6th Street No.2800(Subway),Kings County West 6th Street No.2800,1,"2800, West 6th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States",1.3843331999960355
NYC,40.58114647865296,-73.970966,Kings County West 5th Street No.2765;2775;2785(Coffee Shop),Kings County West 5th Street No.2765;2775;2785,1,"Amalgamated Warbasse Houses 3, 2765;2775;2785, West 5th Street, West Brighton, Brooklyn, Kings County, New York, 11224, United States",0.6207529000021168
