Dataset,Latitude,Longitude,OriginalDetailedLocation,OriginalAddressText,MappingCountForCoordinate,FullAddress,CoordinateToTextSeconds
TKY,35.51076909,139.6745351,鶴見区(Convenience Store),鶴見区,1,"Teraya 2-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",1.4686519999995653
TKY,35.51139812938675,139.68425040494063,鶴見区(Bookstore),鶴見区,1,"Tsurumichuo 3-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",0.7470314000001963
TKY,35.51152467727661,139.684057,鶴見区(Bookstore),鶴見区,1,"Tsurumichuo 2-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",1.1200227999997878
TKY,35.51180966182415,139.71395782875746,川崎区 産業道路(Arcade),川崎区 産業道路,1,"アミューズメントパークベネクス, Kanagawa Route 1 Yokohane Line, Kokan dori 4, Kokan dori, Kawasaki Ward, Ota, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",0.5294057999999495
TKY,35.51182756808439,139.71612006425858,川崎区 産業道路(Bus Station),川崎区 産業道路,1,"Sangyo doro, Hama cho 2, Hama cho, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",1.5026481000004424
TKY,35.51204633508841,139.6612447500229,鶴見区 鶴見獅子ヶ谷通り(Bus Station),鶴見区 鶴見獅子ヶ谷通り,1,"Tsurumi Shishigaya-dori, Kitaterao 1-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",0.5613665000000765
TKY,35.51248872893994,139.69716766118074,川崎区 京町通り(Convenience Store),川崎区 京町通り,1,"Kyomachi 2, Kyomachi, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",0.951145600000018
TKY,35.512502,139.721228,川崎区 新川通り(Bus Station),川崎区 新川通り,1,"川崎港郵便局前, Shinkawa-dōri Ave., Hama cho 4, Hama cho, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",0.9663833000013256
TKY,35.51269966099894,139.69716766118074,川崎区 京町通り(Convenience Store),川崎区 京町通り,1,"Kyōmachi-dōri Street, Oda 2, Oda, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",1.3665770000006887
TKY,35.513059380110136,139.65837478637695,鶴見区 鶴見獅子ヶ谷通り(Bus Station),鶴見区 鶴見獅子ヶ谷通り,1,"Tsurumi Shishigaya-dori, Kitaterao 5-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",1.0165314999994737
TKY,35.51434313431818,139.67822313308716,鶴見区 鶴見東口駅前通り(River),鶴見区 鶴見東口駅前通り,1,"鶴見東口駅前通り, Tsurumichuo 2-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",0.9832972000003792
TKY,35.51435655326311,139.71023735113857,川崎区 市電通り(Sporting Goods Shop),川崎区 市電通り,1,"Shiden-dōri Ave., Odasakae 2, Odasakae, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",1.0044360000010784
TKY,35.514472230475974,139.71049667979904,川崎区 市電通り(Sporting Goods Shop),川崎区 市電通り,1,"Shiden-dōri Ave., Kokan dori 3, Kokan dori, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",0.6365892000012536
TKY,35.51455672249845,139.71666853842416,川崎区 No.22(Home (private)),川崎区 No.22(Home (private)),1,"Rinko Secondary School, 22, Hama cho 2, Hama cho, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0851, Japan",1.359475299999758
TKY,35.51476231491998,139.70872521400452,川崎区 市電通り(Food & Drink Shop),川崎区 市電通り,1,"Ginza Cozy Corner, Shiden-dōri Ave., Odasakae 2, Odasakae, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, 210-0000, Japan",0.9810854000006656
TKY,35.51481034589086,139.66429710388184,鶴見区(Bus Station),鶴見区,1,"Kitaterao 2-chome, Tsurumi Ward, Yokohama, Kanagawa Prefecture, 231-0017, Japan",0.6801629000001412
